mae,rmse,mape,smape,r2,da_pct,fold,model,target,vessel,train_size,test_size
1443.72,1515.34,13.86,12.84,-0.7173,44.07,4,LSTM,target_kobc_handy_next,Handy,1328,127
167.46,254.57,1.07,1.06,0.9841,0.0,4,Persistence,target_kobc_supramax_next,Supramax,1328,127
167.86,235.34,1.05,1.05,0.9864,62.2,4,Ridge,target_kobc_supramax_next,Supramax,1328,127
243.59,307.55,1.47,1.48,0.9767,57.48,4,XGBoost,target_kobc_supramax_next,Supramax,1328,127
713.19,936.91,4.8,4.63,0.7987,50.0,4,LSTM,target_kobc_supramax_next,Supramax,1328,127
240.17,338.33,1.56,1.56,0.978,0.0,4,Persistence,target_kobc_panamax_next,Panamax,1328,127
270.37,350.88,1.68,1.69,0.9763,66.93,4,Ridge,target_kobc_panamax_next,Panamax,1328,127
238.73,327.65,1.53,1.53,0.9794,66.93,4,XGBoost,target_kobc_panamax_next,Panamax,1328,127
1106.91,1359.39,7.48,7.1,0.6653,53.39,4,LSTM,target_kobc_panamax_next,Panamax,1328,127
987.43,1260.76,3.3,3.31,0.8796,0.0,4,Persistence,target_kobc_cape_next,Cape,1328,127
881.26,1133.42,2.94,2.96,0.9027,70.08,4,Ridge,target_kobc_cape_next,Cape,1328,127
833.22,1071.91,2.79,2.81,0.913,70.08,4,XGBoost,target_kobc_cape_next,Cape,1328,127
1741.7,2246.72,5.68,5.82,0.6411,51.69,4,LSTM,target_kobc_cape_next,Cape,1328,127
100.44,137.65,0.79,0.79,0.9932,0.0,5,Persistence,target_kobc_handy_next,Handy,1455,127
95.55,124.46,0.75,0.75,0.9944,66.14,5,Ridge,target_kobc_handy_next,Handy,1455,127
365.47,450.32,2.56,2.54,0.9271,51.18,5,XGBoost,target_kobc_handy_next,Handy,1455,127
1893.21,2163.09,13.74,12.64,-0.9586,63.56,5,LSTM,target_kobc_handy_next,Handy,1455,127
168.2,227.21,0.93,0.93,0.9885,0.0,5,Persistence,target_kobc_supramax_next,Supramax,1455,127
151.92,187.79,0.81,0.81,0.9921,63.78,5,Ridge,target_kobc_supramax_next,Supramax,1455,127
297.64,377.6,1.53,1.54,0.9681,63.78,5,XGBoost,target_kobc_supramax_next,Supramax,1455,127
1052.25,1291.92,5.46,5.58,0.6268,44.92,5,LSTM,target_kobc_supramax_next,Supramax,1455,127
266.43,343.25,1.33,1.33,0.9582,0.0,5,Persistence,target_kobc_panamax_next,Panamax,1455,127
230.78,303.13,1.16,1.16,0.9674,69.29,5,Ridge,target_kobc_panamax_next,Panamax,1455,127
236.52,309.63,1.19,1.19,0.966,58.27,5,XGBoost,target_kobc_panamax_next,Panamax,1455,127
1645.22,2139.03,8.39,7.98,-0.5682,49.15,5,LSTM,target_kobc_panamax_next,Panamax,1455,127
1246.85,1578.42,3.09,3.09,0.9561,0.0,5,Persistence,target_kobc_cape_next,Cape,1455,127
1234.56,1600.53,3.04,3.06,0.9548,53.54,5,Ridge,target_kobc_cape_next,Cape,1455,127
1617.99,2145.26,3.87,3.89,0.9188,50.39,5,XGBoost,target_kobc_cape_next,Cape,1455,127
5156.02,5905.56,12.03,12.98,0.339,47.46,5,LSTM,target_kobc_cape_next,Cape,1455,127
