fold,target,model,mae,rmse,mape,smape,r2,da_pct
4,bdi_si,Persistence,5.32,7.24,0.53,0.53,0.994,8.0
4,bdi_si,Ridge_a1.0,3.28,4.33,0.33,0.33,0.9979,74.5
4,bdi_si,XGBoost,9.93,14.49,0.92,0.91,0.976,73.5
4,bdi_si,LSTM,16.56,19.69,1.64,1.64,0.9557,52.0
4,bdi_si,Ensemble_Ridge_XGB,5.71,7.83,0.54,0.54,0.993,75.5
4,bdi_pi,Persistence,19.05,25.22,1.34,1.34,0.9683,2.5
4,bdi_pi,Ridge_a1.0,9.44,13.12,0.66,0.66,0.9914,82.0
4,bdi_pi,XGBoost,15.18,20.01,1.05,1.06,0.98,70.5
4,bdi_pi,LSTM,71.15,85.76,4.9,5.07,0.6329,53.5
4,bdi_pi,Ensemble_Ridge_XGB,11.26,14.7,0.78,0.79,0.9892,74.5
4,bdi_ci,Persistence,84.59,114.41,4.16,4.15,0.9758,0.0
4,bdi_ci,Ridge_a1.0,70.97,93.09,3.5,3.46,0.984,70.5
4,bdi_ci,XGBoost,69.0,98.41,3.23,3.2,0.9821,76.5
4,bdi_ci,LSTM,139.01,179.94,6.9,6.6,0.9402,58.5
4,bdi_ci,Ensemble_Ridge_XGB,64.49,90.72,3.11,3.07,0.9848,76.0
5,bdi_hsi,Persistence,4.16,5.75,0.96,0.96,0.9974,9.5
5,bdi_hsi,Ridge_a1.0,2.14,2.69,0.49,0.49,0.9994,83.5
5,bdi_hsi,XGBoost,3.53,4.75,0.8,0.8,0.9982,79.0
5,bdi_hsi,LSTM,13.55,17.51,2.91,2.84,0.9756,53.5
5,bdi_hsi,Ensemble_Ridge_XGB,2.46,3.24,0.56,0.56,0.9992,84.0
5,bdi_si,Persistence,9.88,13.3,1.35,1.35,0.9938,2.5
5,bdi_si,Ridge_a1.0,4.94,6.38,0.64,0.64,0.9986,79.5
5,bdi_si,XGBoost,8.28,13.92,1.3,1.28,0.9932,78.0
5,bdi_si,LSTM,14.64,19.94,2.1,2.06,0.986,59.5
5,bdi_si,Ensemble_Ridge_XGB,5.99,8.71,0.89,0.88,0.9973,80.5
5,bdi_pi,Persistence,22.2,30.43,1.88,1.87,0.9937,0.5
5,bdi_pi,Ridge_a1.0,11.54,15.42,1.0,1.0,0.9984,80.5
5,bdi_pi,XGBoost,21.12,44.52,1.44,1.46,0.9864,78.5
5,bdi_pi,LSTM,57.09,83.13,4.66,4.68,0.9527,63.0
5,bdi_pi,Ensemble_Ridge_XGB,14.23,24.6,1.06,1.07,0.9959,80.5
5,bdi_ci,Persistence,79.93,114.9,6.71,6.76,0.9871,0.0
5,bdi_ci,Ridge_a1.0,72.95,97.64,6.88,6.84,0.9907,73.0
5,bdi_ci,XGBoost,80.51,107.67,11.77,9.19,0.9887,65.0
5,bdi_ci,LSTM,150.52,194.49,23.76,16.87,0.9631,57.5
5,bdi_ci,Ensemble_Ridge_XGB,72.52,94.33,8.29,7.39,0.9913,72.0
